c,q,alpha_h,s,v,lam_max,N_half
1.20,0.756,0.4113068516,0.7996150562,0.2311265349,0.6438365566,1.5742
1.20,0.757,0.4118783532,0.8006626013,0.2314338557,0.6435779653,1.5728
1.20,0.758,0.4124499677,0.8017100917,0.2317412086,0.6433188028,1.5714
1.20,0.759,0.4130216952,0.8027575272,0.2320485937,0.6430590911,1.5699
1.20,0.760,0.4135935359,0.8038049075,0.2323560113,0.6427988114,1.5685
1.20,0.761,0.4141654899,0.8048522326,0.2326634615,0.6425379728,1.5670
1.20,0.762,0.4147375576,0.8058995023,0.2329709447,0.6422765736,1.5656
1.20,0.763,0.4153097389,0.8069467164,0.2332784611,0.6420145988,1.5642
1.20,0.764,0.4158820342,0.8079938746,0.2335860108,0.6417520608,1.5627
1.20,0.765,0.4164544436,0.809040977,0.2338935941,0.6414889620,1.5613
1.20,0.766,0.4170269672,0.8100880233,0.2342012112,0.6412252963,1.5598
1.20,0.767,0.4175996053,0.8111350132,0.2345088623,0.6409610628,1.5584
