q,alpha_h,s,v,lam_max,is_complex,dlam_dq_fd,dlam_dq_pert,c_swing,c_reset,c_reset_geom,c_reset_vel,c_reset_push,norm_BA_minus_J,absEigA1,absEigA2,cos2alpha_h,dabslam_dq
0.26,0.1288728098,0.2570327633,0.07433444939,0.7165956246,1,-1.036972752,-1.036973183,0.1458235544,-1.182796738,-1.141745028,-0.536829009,0.495777513,1.746136824e-10,5.705033026,0.999999996,0.9669670793,-0.04845163804
0.259,0.128373891,0.2560431684,0.07404873956,0.7166439595,1,-1.033120974,-1.033121398,0.1451608018,-1.1782822,-1.137440363,-0.5348297624,0.4939881391,2.317776122e-10,5.706392184,0.9999999777,0.967220948,-0.04822351679
0.258,0.12787501,0.2550535848,0.07376302815,0.716692072,1,-1.029275045,-1.029275468,0.144491684,-1.173767152,-1.133134578,-0.5328297054,0.4921973427,2.838457958e-10,5.7077453,0.9999999986,0.9674738344,-0.04800381473
0.257,0.1273761667,0.2540640126,0.07347731516,0.7167399675,1,-1.025425582,-1.025426002,0.1438255943,-1.169251597,-1.128827675,-0.5308288413,0.4904051312,1.671245045e-10,5.709092511,0.9999999803,0.9677257388,-0.04778654997
0.256,0.126877361,0.2530744515,0.07319160059,0.7167876455,1,-1.02157218,-1.021572597,0.1431629405,-1.164735538,-1.124519663,-0.5288271743,0.4886115099,2.094442112e-10,5.71043369,0.9999999925,0.967976661,-0.0475671448
0.255,0.1263785926,0.2520849017,0.07290588441,0.7168351022,1,-1.017717482,-1.017717898,0.1425010827,-1.160218981,-1.120210549,-0.526824709,0.4868164864,1.226088036e-10,5.711768911,0.9999999971,0.9682266012,-0.0473470497
0.254,0.1258798615,0.2510953631,0.07262016664,0.71688234,1,-1.013862741,-1.013863153,0.1418387726,-1.155701926,-1.115900336,-0.5248214479,0.4850200665,1.425871102e-10,5.713098195,1.000000009,0.9684755593,-0.04712977546
0.253,0.1253811675,0.2501058356,0.07233444725,0.7169293621,1,-1.01000463,-1.01000504,0.1411793402,-1.15118438,-1.111589033,-0.5228173966,0.4832222579,1.39130856e-10,5.714421548,0.9999999948,0.9687235355,-0.04691218301
0.252,0.1248825104,0.2491163191,0.07204872626,0.7169761647,1,-1.006144357,-1.006144764,0.1405215831,-1.146666347,-1.107276648,-0.5208125591,0.4814230665,4.443844277e-11,5.715738939,0.9999999982,0.9689705298,-0.04669495261
0.251,0.12438389,0.2481268138,0.07176300364,0.7170227524,1,-1.002283841,-1.002284248,0.1398635848,-1.142147832,-1.102963186,-0.5188069399,0.4796224998,1.99696942e-10,5.717050405,1.000000011,0.9692165421,-0.0464790581
0.25,0.1238853064,0.2471373195,0.0714772794,0.7170691232,1,-0.9984203776,-0.9984207799,0.1392080562,-1.137628836,-1.098648653,-0.5168005418,0.4778205638,1.582603198e-10,5.718355991,1.000000001,0.9694615727,-0.04626137166
