beta,alpha_p,q,alpha_h,s_real,T,v,q_over_T,lam_max,N_half,lam1_re,lam1_im,lam2_re,lam2_im,lam3_re,lam3_im,fixed_point_residual
0.05,0.330681818181818,0.649375963791127,0.30795797366975,0.606226623085266,3.45467521592334,0.175480062580424,0.187970192045265,0.387235358953501,0.730611007489852,-0.176709534706447,0.344564890213263,-0.176709534706447,-0.344564890213263,4.18627431450508e-11,0,4.93108852800007e-13
0.05,0.338636363636364,0.664402415870138,0.315588809841315,0.620752511508042,3.45494563399383,0.179670703179913,0.192304738266491,0.393511115471454,0.743205039692703,-0.204828431853892,0.336000463547097,-0.204828431853892,-0.336000463547097,2.64536664899938e-11,0,5.19170692055082e-13
0.05,0.346590909090909,0.67938682824523,0.323233663272475,0.635268836663201,3.45516496605532,0.183860638465686,0.196629346187447,0.399621128911247,0.755689264598047,-0.233016470736185,0.32465423305103,-0.233016470736185,-0.32465423305103,-3.58386005347751e-11,0,5.45081140560915e-13
0.05,0.354545454545454,0.694328252785805,0.33089263666145,0.649774742526144,3.45532918891272,0.188050025627401,0.200944169086329,0.405560852492928,0.768043436338611,-0.261215258941094,0.310235706473526,-0.261215258941094,-0.310235706473526,-6.13527767921687e-11,0,5.7086569189978e-13
0.05,0.3625,0.709225744081297,0.338565816335558,0.664269332583159,3.45543420278101,0.19223903382346,0.205249384725803,0.411325849823666,0.780246436151493,-0.289363149731676,0.292331870158771,-0.289363149731676,-0.292331870158771,-3.04942561274234e-11,0,6.02286702262633e-13
0.05,0.370454545454545,0.724078359500994,0.346253271888114,0.678751669494558,3.45547583455827,0.196427844381475,0.209545195558734,0.416911783098717,0.792276290147594,-0.317395126935509,0.270325300858325,-0.317395126935509,-0.270325300858325,-8.08920819858367e-11,0,6.31371071541212e-13
0.05,0.378409090909091,0.738885159253678,0.353955055828922,0.693220774825357,3.45544984139817,0.200616650984249,0.213831828898638,0.422314420925422,0.804110236705106,-0.345242665718233,0.243222062916469,-0.345242665718233,-0.243222062916469,-8.61395727011013e-11,0,6.60879991909723e-13
0.05,0.386363636363636,0.753645206447096,0.361671203250183,0.707675628847572,3.45535191458773,0.204805659840297,0.218109537053339,0.427529623427618,0.815724753864845,-0.37283361246303,0.209228765531721,-0.37283361246303,-0.209228765531721,-1.02551421525382e-10,0,6.92112757648424e-13
0.05,0.394318181818182,0.768357567147234,0.369401731509281,0.72211517041738,3.45517768374224,0.208995089837253,0.222378597419928,0.432553339703128,0.827095621275396,-0.400092056136986,0.16440419186994,-0.400092056136986,-0.16440419186994,-1.3409308683832e-10,0,7.22927289349784e-13
0.05,0.402272727272727,0.783021310437417,0.377146639930415,0.736538296931215,3.45492272132434,0.213185172676999,0.226639312539318,0.437381607110217,0.838197995734076,-0.426938191218405,0.0950076371534034,-0.426938191218405,-0.0950076371534034,-1.22039988183173e-10,0,7.57088399158989e-13
0.05,0.410227272727273,0.797635508477212,0.384905909526897,0.750943864364425,3.45458254749218,0.21737615299121,0.230892010108789,0.553771521429792,1.17283172997056,-0.553771521429792,0,-0.352804898351771,0,-1.87653813498035e-10,0,7.90865643684961e-13
