beta,alpha_p,legacy_alpha_rounding,rho_difference,q_over_T_difference,fixed_point_residual
0,0.418181818181818,1.81818181899107e-07,-4.53319277227138e-07,-6.25599083647899e-08,8.86234429353704e-13
0,0.426136363636364,3.63636363631681e-07,3.4736217568998e-08,4.59289492688031e-07,9.25082191334017e-13
0,0.434090909090909,9.0909090921798e-08,-2.39117152966983e-07,-1.37647887782366e-07,9.65321511470348e-13
0,0.442045454545455,4.54545454497968e-07,-1.7821822395625e-07,-4.36184538127327e-07,1.96660426529841e-13
0,0.45,5.55111512312578e-17,2.27488546555854e-07,1.16959425477958e-09,2.09034269953361e-13
0.05,0.02,0,-4.0324932093494e-07,2.47665524352736e-07,5.44389095263452e-13
0.05,0.0220512820512821,2.82051282052276e-07,2.14892282968115e-07,-4.58879966656889e-07,6.30042183471342e-13
0.05,0.0241025641025641,4.35897435896448e-07,3.23757829989724e-07,-2.44496912734857e-07,7.22369248083358e-13
0.05,0.0261538461538462,1.53846153847642e-07,-1.5286227494915e-07,-1.16507065630461e-07,8.22074188664875e-13
0.05,0.0282051282051282,1.28205128204634e-07,-2.98631294248786e-07,-8.22231819158636e-08,9.27327522780322e-13
0.05,0.0302564102564103,4.1025641025691e-07,-2.07329390211619e-07,-1.48948267750942e-07,2.07385404677316e-13
0.05,0.0323076923076923,3.07692307695284e-07,2.01911518615816e-08,-3.23974781196723e-07,2.31916706494908e-13
0.05,0.0343589743589744,2.56410256360695e-08,2.72258504740996e-07,3.8541608373896e-07,2.569938499504e-13
0.05,0.0364102564102564,2.56410256416206e-07,4.28406920272018e-07,-2.80448065811956e-08,2.83496732888773e-13
0.05,0.0384615384615385,4.61538461539457e-07,3.59414567219218e-07,4.28386231397793e-07,3.1147564850806e-13
0.05,0.0405128205128205,1.79487179487181e-07,-7.58011490242794e-08,-2.52533537768718e-07,3.40574621204515e-13
0.05,0.0425641025641026,1.02564102565095e-07,-2.8007314023526e-08,-7.80325075180888e-08,2.43783792983707e-13
0.05,0.0446153846153846,3.84615384610432e-07,3.39938422411201e-07,-5.53239402865946e-08,4.38962334154251e-13
0.05,0.0466666666666667,3.33333333331354e-07,-1.45834377573983e-07,-1.91605280121243e-07,2.92438528853981e-13
0.05,0.0487179487179487,5.1282051272139e-08,3.27360413110434e-07,-4.94057289492783e-07,3.20396307902364e-13
