k_hip,q,alpha_h,s,v,lam_max,N_half,lam1_im
-0.300,0.119,0.05831292088,0.1165597573,0.03632720663,0.8946468022,6.2263,0.0000000000
-0.300,0.120,0.05880362228,0.1175394779,0.03663250371,0.8924683808,6.0928,0.0000000000
-0.300,0.121,0.0592943407,0.1185192042,0.03693780151,0.8902484674,5.9623,0.0000000000
-0.300,0.122,0.05978507627,0.1194989362,0.03724310005,0.8879855276,5.8346,0.0000000000
-0.300,0.123,0.06027582915,0.120478674,0.03754839934,0.8856778572,5.7095,0.0000000000
-0.300,0.124,0.06076659946,0.1214584176,0.03785369938,0.8833236500,5.5870,0.0000000000
-0.300,0.125,0.06125738736,0.122438167,0.03815900018,0.8809209382,5.4670,0.0000000000
-0.300,0.126,0.06174819298,0.1234179223,0.03846430176,0.8784675701,5.3493,0.0000000000
-0.300,0.127,0.06223901647,0.1243976835,0.03876960411,0.8759612023,5.2339,0.0000000000
-0.300,0.128,0.06272985797,0.1253774507,0.03907490725,0.8733992798,5.1207,0.0000000000
-0.300,0.129,0.06322071763,0.126357224,0.0393802112,0.8707789902,5.0095,0.0000000000
-0.300,0.130,0.06371159558,0.1273370033,0.03968551595,0.8680972084,4.9002,0.0000000000
-0.300,0.131,0.06420249198,0.1283167888,0.03999082151,0.8653505350,4.7929,0.0000000000
-0.300,0.132,0.06469340696,0.1292965804,0.04029612791,0.8625351492,4.6872,0.0000000000
-0.300,0.133,0.06518434066,0.1302763782,0.04060143514,0.8596467854,4.5833,0.0000000000
-0.300,0.134,0.06567529323,0.1312561823,0.04090674321,0.8566806603,4.4809,0.0000000000
-0.300,0.135,0.06616626482,0.1322359927,0.04121205214,0.8536314218,4.3799,0.0000000000
-0.300,0.136,0.06665725551,0.1332158093,0.04151736191,0.8504928896,4.2803,0.0000000000
-0.300,0.137,0.06714826555,0.1341956325,0.04182267258,0.8472581202,4.1819,0.0000000000
-0.300,0.138,0.06763929503,0.1351754621,0.04212798414,0.8439189951,4.0846,0.0000000000
-0.300,0.139,0.06813034409,0.1361552981,0.04243329659,0.8404661703,3.9882,0.0000000000
-0.300,0.140,0.06862141288,0.1371351407,0.04273860994,0.8368886121,3.8927,0.0000000000
-0.300,0.141,0.06911250153,0.1381149899,0.04304392421,0.8331732930,3.7978,0.0000000000
-0.300,0.142,0.0696036102,0.1390948456,0.0433492394,0.8293044387,3.7033,0.0000000000
-0.300,0.143,0.07009473903,0.1400747081,0.04365455553,0.8252629561,3.6091,0.0000000000
-0.300,0.144,0.07058588816,0.1410545772,0.0439598726,0.8210250061,3.5149,0.0000000000
-0.300,0.145,0.07107705772,0.1420344531,0.04426519063,0.8165604432,3.4203,0.0000000000
-0.300,0.146,0.07156824788,0.1430143359,0.04457050962,0.8118299592,3.3250,0.0000000000
-0.300,0.147,0.07205945876,0.1439942254,0.0448758296,0.8067809659,3.2284,0.0000000000
-0.300,0.148,0.07255069051,0.1449741219,0.04518115055,0.8013397808,3.1298,0.0000000000
-0.300,0.149,0.07304194328,0.1459540252,0.04548647251,0.7953978501,3.0280,0.0000000000
-0.300,0.150,0.07353321721,0.1469339356,0.04579179547,0.7887829097,2.9214,0.0000000000
-0.300,0.151,0.07402451244,0.147913853,0.04609711946,0.7811890481,2.8070,0.0000000000
-0.300,0.152,0.07451582911,0.1488937774,0.04640244447,0.7719618707,2.6781,0.0000000000
-0.300,0.153,0.07500716738,0.149873709,0.04670777053,0.7589710278,2.5133,0.0000000000
-0.300,0.154,0.07549852737,0.1508536477,0.04701309763,0.7396181494,2.2981,0.0165862166
-0.300,0.155,0.07598990924,0.1518335937,0.04731842581,0.7395919838,2.2978,0.0302973149
-0.300,0.156,0.07648131313,0.1528135468,0.04762375505,0.7395656245,2.2975,0.0395522236
-0.300,0.157,0.07697273918,0.1537935073,0.04792908539,0.7395391070,2.2973,0.0470580629
-0.300,0.158,0.07746418754,0.1547734751,0.04823441682,0.7395123959,2.2970,0.0535551025
-0.300,0.159,0.07795565835,0.1557534503,0.04853974936,0.7394854978,2.2967,0.0593753643
-0.300,0.160,0.07844715175,0.1567334329,0.04884508302,0.7394584275,2.2964,0.0647017282
-0.300,0.161,0.07893866789,0.157713423,0.04915041781,0.7394311769,2.2961,0.0696474786
-0.300,0.162,0.07943020691,0.1586934206,0.04945575375,0.7394037464,2.2959,0.0742886438
-0.300,0.163,0.07992176895,0.1596734258,0.04976109085,0.7393761352,2.2956,0.0786790365
-0.300,0.164,0.08041335416,0.1606534385,0.05006642911,0.7393483425,2.2953,0.0828584608
-0.300,0.165,0.08090496268,0.1616334589,0.05037176856,0.7393203710,2.2950,0.0868573577
-0.300,0.166,0.08139659465,0.162613487,0.05067710919,0.7392922184,2.2947,0.0906995291
-0.300,0.167,0.08188825023,0.1635935229,0.05098245104,0.7392638823,2.2944,0.0944040396
-0.300,0.168,0.08237992955,0.1645735665,0.05128779409,0.7392353662,2.2941,0.0979864602
-0.300,0.169,0.08287163275,0.1655536179,0.05159313838,0.7392066680,2.2938,0.1014596743
-0.300,0.170,0.08336335999,0.1665336772,0.05189848391,0.7391777897,2.2935,0.1048344939
-0.300,0.171,0.0838551114,0.1675137445,0.0522038307,0.7391487261,2.2932,0.1081200524
