beta,q,alpha_h,s_real,T,lam_max,N_half,theta_dot,phi_dot,fixed_point_residual,lam_delta1e7,N_delta1e7
0.15,0.048,0.0192507918918831,0.0384992057583314,3.40331459125874,0.995374542323707,149.507990084701,-0.0239449636785984,-1.77454788522637e-05,5.86594305855783e-13,0.99537484568826,149.517819102789
0.15,0.052,0.020856019440222,0.0417090150072933,3.40334900570924,0.994572717886085,127.368452083377,-0.0259406986916559,-2.25637634286497e-05,6.66570123883871e-13,0.994572976324484,127.374533986001
0.15,0.056,0.0224614858799606,0.044919194444626,3.4033861602107,0.993707103102492,109.800612547615,-0.0279365109095379,-2.81842241748877e-05,7.52007215360675e-13,0.993707322986547,109.804461429496
0.15,0.06,0.0240672096286359,0.0481297725705906,3.40342605173105,0.992777786673229,95.6273509350191,-0.0299324062951203,-3.46688353494337e-05,8.42945755076792e-13,0.992777980857446,95.6299314854067
0.15,0.064,0.0256732091131278,0.0513407778911462,3.4034686770111,0.991784860936387,84.0273196338212,-0.031928390816852,-4.20796309323622e-05,9.39394549787837e-13,0.99178503213537,84.029077995927
0.15,0.068,0.0272795025779371,0.054552238533712,3.40351403256997,0.990728426688781,74.4133585997386,-0.0339244702100511,-5.04787080326601e-05,2.08304568817328e-13,0.990728578050938,74.4145791231868
0.15,0.072,0.0288861088591551,0.0577641837936065,3.40356211467857,0.989608588342489,66.3566745853232,-0.0359206509384284,-5.99282346365992e-05,2.29632169442519e-13,0.989608724133916,66.3575462678418
0.15,0.076,0.0304930462191592,0.0609766418033146,3.40361291939822,0.988425458333872,59.5382509692589,-0.0379169387452923,-7.04904488790916e-05,2.52263308898284e-13,0.988425579731002,59.5388790792973
0.15,0.08,0.03210033312877,0.0641896410953262,3.40366644255341,0.987179154813903,53.7167595610831,-0.039913339625312,-8.22276666209287e-05,2.7596733209468e-13,0.987179264665328,53.7172228027213
0.15,0.084,0.0337079880714278,0.0674032102096713,3.40372267973777,0.985869802816891,48.7069220123012,-0.0419098595806913,-9.52022849731341e-05,3.0074491946525e-13,0.985869902925531,48.7072695572512
0.15,0.088,0.0353160295251481,0.0706173776569047,3.40378162631767,0.984497533503318,44.3645819047417,-0.0439065045983379,-0.000109476786368212,2.39017448673338e-13,0.984497624909787,44.3648455452792
