q,alpha_p,P,alpha_h,s_real,T,v_nom,v_real,lam_max,margin,N_half,eig_type
0.035,0.01750089335228726,0.0003185650430191521,0.017292261132897134,0.03458279870102661,3.4546245340827757,0.010131347026195054,0.010010580993632803,0.9898216468332328,0.010178353166767184,67.75296613345411,real
0.036,0.018000972141744936,0.0003370328022306876,0.017786387081662573,0.03557089858547888,3.4546282141040923,0.010420802983378654,0.01029659239169494,0.9892247532308325,0.010775246769167524,63.98053208865946,real
0.037,0.01850105543339135,0.0003560212358861541,0.01828051821606652,0.03655900015446874,3.4546319971328185,0.010710258004530801,0.010582603352487611,0.9886102230209382,0.01138977697906185,60.50972285201847,real
0.038,0.019001143352414006,0.0003755303819961924,0.018774654680243977,0.03754710345467777,3.454635883114723,0.010999712063935069,0.010868613864111505,0.9879779770491748,0.012022022950825217,57.30917906494532,real
0.039,0.01950123602401084,0.00039556027961572206,0.01926879661829857,0.03853520853270097,3.4546398719932316,0.01128916513590115,0.011154623914667905,0.9873279412605451,0.012672058739454872,54.35155084544349,real
0.04,0.02000133357339049,0.0004161109688441753,0.01976294417438506,0.039523315435211065,3.4546439637109567,0.011578617194760717,0.011440633492302161,0.9866600363213016,0.013339963678698386,51.6128506664929,real
0.041,0.02050143612577258,0.000437182490825738,0.020257097492642345,0.04051142420882393,3.45464815820892,0.011868068214870443,0.011726642585167714,0.9859741758976693,0.014025824102330664,49.07196551942262,real
0.042,0.021001543806388006,0.0004587748877495977,0.020751256717192936,0.041499534900096884,3.4546524554261353,0.012157518170614142,0.012012651181427704,0.9852702782653777,0.01472972173462228,46.710293301424244,real
0.043,0.021501656740479203,0.0004808882028501953,0.02124542199222828,0.04248764755569866,3.454656855300993,0.012446967036398625,0.01229865926930009,0.9845482525520878,0.015451747447912223,44.51134841353263,real
0.044,0.022001775053300456,0.0005035224804074874,0.021739593461894746,0.04347576222218076,3.454661357769375,0.01273641478666093,0.012584666836998585,0.9838080043539411,0.016191995646058888,42.46049773556017,real
0.045,0.02250189887011816,0.0005266777657472109,0.022233771270371197,0.04446387894613194,3.45466596276666,0.013025861395861807,0.012870673872770947,0.9830494450965761,0.016950554903423898,40.544739171595765,real
0.046,0.023002028316211114,0.0005503541052411552,0.022727955561816216,0.04545199777407203,3.454670670225744,0.013315306838493565,0.013156680364875993,0.9822724652620289,0.017727534737971062,38.75242553102169,real
0.047,0.02350216351687079,0.0005745515463074422,0.02322214648046717,0.04644011875264937,3.454675480079028,0.013604751089073306,0.013442686301634045,0.9814769705028847,0.018523029497115262,37.07317875385245,real
0.048,0.024002304597401634,0.0005992701374108105,0.02371634417047729,0.047428241928314394,3.4546803922563876,0.013894194122151286,0.013728691671340729,0.9806628534031964,0.019337146596803634,35.49766883188467,real
0.049,0.024502451683121342,0.0006245099280629072,0.024210548776074474,0.04841636734763653,3.454685406687203,0.014183635912303665,0.01401469646235151,0.9798300007050335,0.020169999294966545,34.017505010026866,real
0.05,0.02500260489936114,0.0006502709688225851,0.024704760441463913,0.04940449505710883,3.4546905232983893,0.014473076434140955,0.014300700663033501,0.9789783015463887,0.021021698453611348,32.625138202571065,real
0.051,0.02550276437146606,0.0006765533112962078,0.025198979310888627,0.05039262510326839,3.4546957420162308,0.014762515662301237,0.01458670426179361,0.9781076361666207,0.021892363833379336,31.31374388336679,real
0.052,0.02600293022479526,0.000703357008137959,0.02569320552856443,0.05138075753256564,3.4547010627648502,0.015051953571457092,0.014872707247047543,0.9772178820716997,0.022782117928300316,30.0771497955108,real
0.053,0.026503102584722254,0.0007306821130501605,0.02618743923874677,0.052368892391497356,3.4547064854671783,0.015341390136312213,0.015158709607254966,0.9763089180458486,0.023691081954151372,28.909767337196065,real
0.054,0.027003281576635237,0.0007585286807835933,0.026681680585690745,0.05335702972652607,3.4547120100447275,0.01563082533160293,0.01544471133089767,0.9753806064707714,0.024619393529228595,27.806505460171362,real
0.055,0.027503467325937343,0.0007868967671378293,0.027175929713642508,0.054345169584062214,3.454717636417057,0.01592025913210128,0.01573071240647744,0.9744328134887333,0.02556718651126666,26.76274215367118,real
0.056,0.02800365995804695,0.0008157864289615651,0.02767018676689799,0.05533331201058093,3.4547233645028887,0.016209691512610598,0.016016712822545492,0.9734653995022623,0.026534600497737704,25.77426294750923,real
0.057,0.028503859598397952,0.0008451977241529657,0.0281644518897242,0.05632145705246401,3.4547291942188583,0.01649912244797183,0.01630271256766299,0.9724782209114821,0.02752177908851794,24.837220438096256,real
0.058,0.029004066372440036,0.0008751307116600114,0.028658725226421794,0.05730960475612439,3.454735125480275,0.01678855191306074,0.01658871163043426,0.9714711249939059,0.028528875006094134,23.94809224983991,real
0.059,0.029504280405638978,0.0009055854514808543,0.029153006692811255,0.05829775471117205,3.4547411581985417,0.017077979882801197,0.016874709867286015,0.9704439573226011,0.029556042677398864,23.10365516332293,real
0.06,0.030004501823476935,0.0009365620046641783,0.029647296890613774,0.05928590787840466,3.454747292291099,0.017367406332116857,0.017160707531545027,0.9693965541018991,0.030603445898100934,22.300949182473435,real
0.061,0.03050473075145271,0.000968060433309567,0.03014159573521095,0.060274063846472735,3.4547535276662074,0.017656831236006403,0.017446704479433507,0.9683287490334671,0.03167125096653289,21.537257442112445,real
0.062,0.031004967315082038,0.0010000808005678774,0.030635903370952438,0.061262222661736115,3.4547598642333326,0.017946254569493444,0.01773270069968559,0.9672403723610506,0.03275962763894935,20.81008182633874,real
0.063,0.03150521163989788,0.00103262317064162,0.031130219942179734,0.06225038437049897,3.454766301900099,0.018235676307642116,0.018018696181059096,0.9661312380004637,0.03386876199953626,20.117114310818213,real
0.064,0.03200546385145072,0.0010656876087853473,0.03162454559325538,0.06323854901906749,3.454772840572862,0.018525096425554763,0.018304690912349948,0.9650011655877526,0.03499883441224738,19.456233327045666,real
0.065,0.032505724075308814,0.0010992741813060439,0.03211888046855741,0.06422671665373816,3.4547794801565996,0.018814514898373096,0.018590684882389907,0.9638499607690871,0.03615003923091287,18.82547472983738,real
0.066,0.0330059924370585,0.0011333829555635285,0.03261322471245762,0.06521488732075366,3.4547862205544213,0.019103931701281468,0.01887667808003704,0.9626774201729118,0.0373225798270882,18.223021127111675,real
0.067,0.03350626906230448,0.0011680139999708577,0.03310757846935127,0.06620306106636165,3.4547930616680924,0.019393346809504736,0.019162670494190626,0.9614833370792064,0.03851666292079359,17.64719181090533,real
0.068,0.03400655407667011,0.0012031673839947405,0.03360194188367045,0.06719123793684068,3.4548000033981237,0.01968276019830831,0.01944866211379869,0.9602674995755118,0.03973250042448817,17.096429670003328,real
0.069,0.03450684760579766,0.0012388431781559545,0.034096315099798664,0.06817941797832898,3.454807045643125,0.01997217184300242,0.019734652927812683,0.9590296812055501,0.0409703187944499,16.569286569873803,real
0.07,0.03500714977534865,0.0012750414540297732,0.03459069826219336,0.06916760123706867,3.4548141883003023,0.02026158171894002,0.020020642925256047,0.9577696482664125,0.04223035173358747,16.064417642578952,real
0.071,0.03550746071100405,0.0013117622842463953,0.035085091515284834,0.07015578775920295,3.4548214312655015,0.020550989801517087,0.020306632095165877,0.9564871646478462,0.04351283535215378,15.580574404819895,real
0.072,0.036007780538464686,0.0013490057424913853,0.03557949500354334,0.07114397759090973,3.4548287744330484,0.020840396066174216,0.020592620426633085,0.9551819723479336,0.04481802765206644,15.116589697823194,real
0.073,0.0365081093834514,0.001386771903506115,0.03607390887142917,0.07213217077830111,3.4548362176955356,0.021129800488398513,0.02087860790877523,0.9538538196621552,0.04614618033784479,14.671381279545399,real
0.074,0.03700844737170542,0.001425060843088216,0.03656833326343706,0.07312036736751151,3.4548437609441383,0.02141920304372239,0.021164594530760836,0.9525024290891795,0.04749757091082052,14.243934163332884,real
0.075,0.03750879462898862,0.0014638726380920355,0.037062768324053884,0.07410856740461244,3.4548514040687097,0.021708603707723578,0.021450580281784697,0.9511275234017444,0.048872476598255554,13.83330398166431,real
0.076,0.03800915128108379,0.001503207366429102,0.03755721419780195,0.0750967709356984,3.454859146957452,0.02199800245602776,0.02173656515109536,0.949728805307047,0.05027119469295305,13.438605338434122,real
0.077,0.03850951745379497,0.001543065107068594,0.038051671029191915,0.07608497800679218,3.4548669894969306,0.022287399264309192,0.022022549127968322,0.9483059770497402,0.05169402295025982,13.05901296031427,real
0.078,0.039009893272947654,0.001583445940037816,0.03854613896277277,0.077073188663944,3.45487493157229,0.02257679410828997,0.022308532201734003,0.9468587197251529,0.0531412802748471,12.693751572437337,real
0.079,0.03951027886438918,0.0016243499464226824,0.0390406181430889,0.07806140295314508,3.454882973067295,0.022866186963740383,0.02259451436175305,0.9453866935272605,0.05461330647273954,12.342092763263494,real
0.08,0.040010674353988925,0.0016657772083682066,0.039535108668603526,0.07904962082824596,3.4548911138763256,0.02315557780639907,0.02288049557068492,0.9438895650961027,0.05611043490389733,12.003357990509524,real
