q,k_hip,c,alpha_p,alpha_h,s_real,T,lam_max,margin,N_half
0.046,-0.12,1.04,0.023002028316211114,0.02278369819111878,0.04556345416883318,3.535296898258623,0.9807604850196887,0.01923951498031129,35.67957321370618
0.044,-0.12,1.04,0.022001775053300456,0.02179291153451226,0.04358237310791063,3.535285264365504,0.9824287970090666,0.0175712029909334,39.100309388302826
0.042,-0.12,1.04,0.021001543806388006,0.020802150360746813,0.04160130021865307,3.5352741436244295,0.9840171664634711,0.01598283353652885,43.02072448144075
0.04,-0.12,1.04,0.02000133357339049,0.019811413510677653,0.039620235131088116,3.5352635365688485,0.9855264631150139,0.014473536884986093,47.54324059005455
0.038,-0.12,1.04,0.019001143352414006,0.01882069982523582,0.037639177474957486,3.5352534437073277,0.9869575021108264,0.013042497889173554,52.79794643096948
0.036,-0.12,1.04,0.018000972141744936,0.017830008728347984,0.035658128045392125,3.5352438655286123,0.9883110345406779,0.011688965459322076,58.952022537265506
0.034,-0.12,1.04,0.01700081893984093,0.016839337906628213,0.0336770841630747,3.5352348024813254,0.9895877595804247,0.010412240419575336,66.22323823969622
0.032,-0.12,1.04,0.01600068274532185,0.015848686774660958,0.03169604660366328,3.535226255004624,0.9907883235803863,0.009211676419613735,74.89947553932254
0.03,-0.12,1.04,0.015000562556960754,0.014858054174239601,0.029715014997082654,3.5352182235076874,0.9919133267135615,0.008086673286438528,85.36770758992861
0.028,-0.12,1.04,0.01400045737367484,0.013867438947351325,0.027733988973312,3.5352107083749553,0.9929633187306933,0.007036681269306677,98.15786107606104
0.026,-0.12,1.04,0.013000366194516442,0.012876839936255246,0.025752968162561993,3.535203709965655,0.9939388068960133,0.006061193103986673,114.0112830459702
0.024,-0.12,1.04,0.012000288018664,0.011886255983542711,0.023771952195416234,3.5351972286144786,0.9948402564582823,0.005159743541717665,133.99065328413224
0.022,-0.12,1.04,0.011000221845413027,0.010895685932301315,0.02179094070318014,3.5351912646311936,0.9956680900970337,0.00433190990296628,159.66277789613542
0.02,-0.12,1.04,0.010000166674167114,0.009905128626331592,0.019809933318335162,3.5351858183013745,0.9964226922791946,0.003577307720805445,193.4154659491854
0.018,-0.12,1.04,0.009000121504428887,0.0089145829104329,0.017828929675131402,3.535180889884659,0.9971044106388449,0.002895589361155082,239.03360401779932
0.016,-0.12,1.04,0.008000085335791027,0.00792404763120989,0.015847929411221363,3.535176479616319,0.9977135549733347,0.002286445026665307,302.80826729115626
0.014,-0.12,1.04,0.007000057167927228,0.006933521638625184,0.01386693217078613,3.5351725877076734,0.998250400017752,0.0017495999822479957,395.8279866645853
0.012,-0.12,1.04,0.0060000360005832126,0.005943008855500843,0.011885947743380209,3.5351692143554128,0.9987151826568845,0.0012848173431154741,539.1441866032962
0.01,-0.12,1.04,0.005000020833567712,0.004952498793328461,0.00990495709632398,3.5351663596962384,0.9991081147663159,0.0008918852336841088,776.824197282036
0.13,-0.08,1.04,0.0650458580746109,0.06459043946928086,0.12909107551965118,3.6225285592194294,0.7601710781777489,0.23982892182225113,2.5277805733519774
0.12,-0.08,1.04,0.06003605844527842,0.05961465820108206,0.11915870729049542,3.622334761715068,0.8214380314093503,0.17856196859064966,3.523901817098674
0.1,-0.08,1.04,0.050020856805770016,0.04966820054234239,0.0992955634617979,3.621991637101084,0.8891356978381014,0.11086430216189858,5.898853135391149
0.08,-0.08,1.04,0.040010674353988925,0.039727572794502584,0.07943424682655004,3.6217089659443773,0.9330784374885273,0.06692156251147274,10.007031815144204
0.06,-0.08,1.04,0.030004501823476935,0.029791605174850848,0.05957439699632815,3.6214879100761097,0.9636785812921609,0.036321418707839115,18.73499277022706
0.058,-0.08,1.04,0.029004066372440036,0.028798219700371015,0.057588478583419846,3.621469230276189,0.9661523332940475,0.03384766670595252,20.12987064578773
0.056,-0.08,1.04,0.02800365995804695,0.027804868054714476,0.05560257097285383,3.621451176614031,0.9685285303272907,0.03147146967270931,21.676199998827755
0.054,-0.08,1.04,0.027003281576635237,0.026811549006158127,0.05361667366736396,3.6214337498222697,0.9708088984993841,0.02919110150061588,23.39686850553595
0.052,-0.08,1.04,0.02600293022479526,0.02581826138904387,0.05163078630116609,3.621416950607748,0.9729950364509088,0.02700496354909121,25.319244340775583
0.05,-0.08,1.04,0.02500260489936114,0.02482500403788403,0.049644908508248535,3.6214007796516734,0.9750884253566302,0.024911574643369794,27.476271425731458
0.048,-0.08,1.04,0.024002304597401634,0.02383177578733239,0.04765903992233525,3.6213852376092466,0.9770904530375515,0.022909546962448513,29.90790996347583
0.046,-0.08,1.04,0.023002028316211114,0.02283857547221689,0.045673180176972375,3.6213703251099254,0.9790023929154392,0.020997607084560777,32.6629707558116
0.044,-0.08,1.04,0.022001775053300456,0.021845401927483882,0.04368732890543786,3.6213560427573457,0.9808254368657658,0.019174563134234157,35.80161567989236
0.042,-0.08,1.04,0.021001543806388006,0.020852253988258716,0.04170148574088373,3.62134239112941,0.9825606894518244,0.0174393105481756,39.39865925824611
0.04,-0.08,1.04,0.02000133357339049,0.019859130489765092,0.039715650316195915,3.6213293707782874,0.9842091770141812,0.015790822985818798,43.54807732743315
0.038,-0.08,1.04,0.019001143352414006,0.018866030267402734,0.037729822264170626,3.6213169822302773,0.9857718487525168,0.014228151247483223,48.36920059211108
0.036,-0.08,1.04,0.018000972141744936,0.01787295274084939,0.03574400238555293,3.6213052259915783,0.9872495891821524,0.012750410817847557,54.01541831131624
0.034,-0.08,1.04,0.01700081893984093,0.016879895588417418,0.033758187998534354,3.621294102525648,0.988643214946294,0.011356785053705964,60.68651673350572
0.032,-0.08,1.04,0.01600068274532185,0.01588685822046652,0.031772379884427986,3.6212836122874554,0.9899534826899891,0.010046517310010938,68.6466207284246
