s,v,amp_pct,step,deviation_norm,deviation_normalized
0.080,0.0232,1.0,37,7.154392e-04,1.809630e+00
0.080,0.0232,1.0,38,6.761675e-04,1.710296e+00
0.080,0.0232,1.0,39,6.390066e-04,1.616301e+00
0.080,0.0232,1.0,40,6.038477e-04,1.527371e+00
0.080,0.0232,1.0,41,5.705874e-04,1.443242e+00
0.080,0.0232,1.0,42,5.391269e-04,1.363666e+00
0.080,0.0232,1.0,43,5.093723e-04,1.288405e+00
0.080,0.0232,1.0,44,4.812341e-04,1.217232e+00
0.080,0.0232,1.0,45,4.546273e-04,1.149933e+00
0.080,0.0232,1.0,46,4.294709e-04,1.086303e+00
0.080,0.0232,1.0,47,4.056883e-04,1.026147e+00
0.080,0.0232,1.0,48,3.832062e-04,9.692807e-01
0.080,0.0232,1.0,49,3.619553e-04,9.155288e-01
0.080,0.0232,1.0,50,3.418698e-04,8.647247e-01
0.080,0.0232,1.0,51,3.228872e-04,8.167101e-01
0.080,0.0232,1.0,52,3.049482e-04,7.713352e-01
0.080,0.0232,1.0,53,2.879965e-04,7.284576e-01
0.080,0.0232,1.0,54,2.719788e-04,6.879425e-01
0.080,0.0232,1.0,55,2.568446e-04,6.496619e-01
0.080,0.0232,1.0,56,2.425458e-04,6.134947e-01
0.080,0.0232,1.0,57,2.290372e-04,5.793260e-01
0.080,0.0232,1.0,58,2.162756e-04,5.470469e-01
0.080,0.0232,1.0,59,2.042204e-04,5.165545e-01
0.080,0.0232,1.0,60,1.928329e-04,4.877510e-01
0.400,0.1156,0.1,1,8.639214e-04,4.337693e+00
0.400,0.1156,0.1,2,8.295829e-04,4.165282e+00
0.400,0.1156,0.1,3,3.150806e-04,1.581999e+00
0.400,0.1156,0.1,4,1.416889e-04,7.114109e-01
0.400,0.1156,0.1,5,2.823622e-04,1.417722e+00
0.400,0.1156,0.1,6,1.817305e-04,9.124568e-01
0.400,0.1156,0.1,7,2.268560e-05,1.139029e-01
0.400,0.1156,0.1,8,7.379436e-05,3.705166e-01
0.400,0.1156,0.1,9,7.465298e-05,3.748277e-01
0.400,0.1156,0.1,10,2.968616e-05,1.490523e-01
0.400,0.1156,0.1,11,1.159425e-05,5.821399e-02
0.400,0.1156,0.1,12,2.474236e-05,1.242298e-01
0.400,0.1156,0.1,13,1.633826e-05,8.203331e-02
0.400,0.1156,0.1,14,2.351537e-06,1.180692e-02
0.400,0.1156,0.1,15,6.334343e-06,3.180432e-02
0.400,0.1156,0.1,16,6.642579e-06,3.335196e-02
0.400,0.1156,0.1,17,2.752329e-06,1.381926e-02
0.400,0.1156,0.1,18,9.362283e-07,4.700741e-03
0.400,0.1156,0.1,19,2.167629e-06,1.088353e-02
0.400,0.1156,0.1,20,1.472893e-06,7.395298e-03
0.400,0.1156,0.1,21,2.402177e-07,1.206118e-03
0.400,0.1156,0.1,22,5.430160e-07,2.726448e-03
0.400,0.1156,0.1,23,5.900022e-07,2.962363e-03
0.400,0.1156,0.1,24,2.542207e-07,1.276426e-03
0.400,0.1156,0.1,25,7.483091e-08,3.757211e-04
0.400,0.1156,0.1,26,1.897085e-07,9.525139e-04
0.400,0.1156,0.1,27,1.326716e-07,6.661356e-04
0.400,0.1156,0.1,28,2.417453e-08,1.213788e-04
0.400,0.1156,0.1,29,4.645544e-08,2.332497e-04
0.400,0.1156,0.1,30,5.235350e-08,2.628635e-04
0.400,0.1156,0.1,31,2.342280e-08,1.176044e-04
0.400,0.1156,0.1,32,5.912223e-09,2.968489e-05
0.400,0.1156,0.1,33,1.658437e-08,8.326905e-05
0.400,0.1156,0.1,34,1.193691e-08,5.993442e-05
0.400,0.1156,0.1,35,2.400895e-09,1.205474e-05
0.400,0.1156,0.1,36,3.965726e-09,1.991165e-05
0.400,0.1156,0.1,37,4.641712e-09,2.330573e-05
0.400,0.1156,0.1,38,2.153657e-09,1.081337e-05
0.400,0.1156,0.1,39,4.604904e-10,2.312092e-06
0.400,0.1156,0.1,40,1.447733e-09,7.268971e-06
0.400,0.1156,0.1,41,1.072398e-09,5.384443e-06
0.400,0.1156,0.1,42,2.353863e-10,1.181859e-06
0.400,0.1156,0.1,43,3.381266e-10,1.697711e-06
0.400,0.1156,0.1,44,4.115909e-10,2.066571e-06
0.400,0.1156,0.1,45,1.980405e-10,9.943482e-07
0.400,0.1156,0.1,46,3.496913e-11,1.755777e-07
0.400,0.1156,0.1,47,1.258177e-10,6.317226e-07
0.400,0.1156,0.1,48,9.581740e-11,4.810929e-07
0.400,0.1156,0.1,49,2.243796e-11,1.126595e-07
0.400,0.1156,0.1,50,2.918220e-11,1.465219e-07
0.400,0.1156,0.1,51,3.689114e-11,1.852280e-07
0.400,0.1156,0.1,52,1.860582e-11,9.341862e-08
0.400,0.1156,0.1,53,2.321916e-12,1.165819e-08
0.400,0.1156,0.1,54,1.050317e-11,5.273575e-08
0.400,0.1156,0.1,55,8.127504e-12,4.080767e-08
0.400,0.1156,0.1,56,1.697010e-12,8.520577e-09
0.400,0.1156,0.1,57,2.930621e-12,1.471446e-08
0.400,0.1156,0.1,58,3.730114e-12,1.872866e-08
0.400,0.1156,0.1,59,2.171474e-12,1.090283e-08
0.400,0.1156,0.1,60,4.255100e-13,2.136458e-09
0.400,0.1156,0.3,1,2.749302e-03,4.601355e+00
0.400,0.1156,0.3,2,2.508139e-03,4.197734e+00
0.400,0.1156,0.3,3,9.357374e-04,1.566092e+00
0.400,0.1156,0.3,4,4.445959e-04,7.440956e-01
0.400,0.1156,0.3,5,8.825137e-04,1.477015e+00
0.400,0.1156,0.3,6,5.683104e-04,9.511499e-01
0.400,0.1156,0.3,7,6.798735e-05,1.137867e-01
0.400,0.1156,0.3,8,2.317369e-04,3.878453e-01
0.400,0.1156,0.3,9,2.315410e-04,3.875174e-01
0.400,0.1156,0.3,10,9.103411e-05,1.523588e-01
0.400,0.1156,0.3,11,3.684517e-05,6.166573e-02
0.400,0.1156,0.3,12,7.720448e-05,1.292129e-01
